noticia,sentimento
 procuradoria abre investigação suposta fraude cpi petrobras notícias política , negativo
 usina solar funciona dentro estádio mineirão belo horizonte , positivo
 sba compra torres telefonia 117 bilhão valor econômico , positivo
 decisão custódia ações pode levar semanas , negativo
 tcu julgará processo compra refinaria pasadena petrobras 2014 folha paulo , negativo
 embraer vende jatos trans states entrega mais tri noticias uol economia , positivo
 cade aprova medidas reestruturar recuperar ogx valor econômico , positivo
 odebrecht petrobras fizeram contrato após doação eleitoral implicante , negativo
 lucro bradesco sobe trimestre 2014 bilhões notícias negócios , positivo
 racionamento água são paulo mapeado internautas youtube linkis , negativo
 tempo real petrobras sobe pregão vale elétricas avançam mais infomoney , positivo
 vale dispara minério siderúrgicas recuam mais ações ganham destaque , positivo
 lojas renner lucro líquido subir 209 tri , positivo
 ações ibovespa você acompanhar abertura pregão , neutro
 braskem announces 1q14 results , neutro
 ágora bradesco indica compra ações arrojadas upside bate infomoney , positivo
 cerca 360 metros cabo tim são furtados oliveira jornal tempo , negativo
 petrobras atinge marca milhões barris dia muda mais , positivo
 osx quer financiar ações ogx valor econômico , positivo
 bovespa opera alta quarta feira notícias mercados , positivo
 ford vende 250 ecosport frota localiza rent car , positivo
 caixa preta diretoria petrobras graça foster também fazia parte omitiu riscos negócio japão reinaldo azevedo blog veja , negativo
 tim pior desempenho banda larga oacutevel trimestre anatel , negativo
 ibovespa sobe mais após goleada alemanha brasil china eua radar , positivo
 seguradora lucro 536 maior trimestre 845 milhões noticias uol economia , positivo
 análise cade deve estender união all rumo deve ficar 2015 , neutro
 custo refinaria subiu causa tipo petróleo costa notícias política , negativo
 fibria melhora semestre , positivo
 justiça decreta quebra sigilo petrobras diretor notícias política , positivo
 empresas não têm medo fantasma inflação , neutro
 cemig compra projeto parques eólicos renova bahia negócios reuters , positivo
 tim pior desempenho banda larga móvel trimestre anatel , negativo
 bovespa opera alta dia vencimento opções índice globo , positivo
 bovespa cai após ibope contrariar expectativas segundo turno valor econômico , negativo
 movimentos mantêm protesto alckmin sabesp greve metrô , negativo
 comissão senado aprova três nomes tcu , neutro
 prumo maior contrato crédito bndes ano valor econômico , positivo
 bovespa índice ibovespa abre praticamente estável quarta feira maio 2014 , positivo
 aneel descarta recurso eletropaulo devolução dinheiro consumidores economia notícia veja , negativo
 boa noite investidor fed reduz compra ativos ultimoinstante , positivo
 ogppar antiga ogx prejuízo 174 bi em 2013 economia notícia veja , negativo
 possível racionamento volta afetar sabesp valor econômico linkis , negativo
 conselho eletrobras aprova captação caixa noticias uol economia , positivo
 ceo propõe reorganizar portugal telecom acelerar integração 2014 mercado folha paulo , positivo
 ibovespa abre leve alta oscila durante negócios segue baixa , neutro
 cantareira sabesp terá reduzir coleta água agência estado uol notícias , negativo
 telefônica brasil está otimista aprovação compra gvt presidente noticias uol economia , neutro
 vítima golpistas será indenizada bradesco blog , negativo
 pagará 227 acionistas dividendos vale petrobras mais radar infomoney , positivo
 ebay lança site português , positivo
 efeito marina faz bovespa subir mil pontos valor econômico , positivo
 sócios temem portugal telecom descumpra acordo info , negativo
 ágora bradesco divulga carteira dividendos maio elétricas infomoney , neutro
 anos bolsa ações cielo valorizam 250 , positivo
 embraer entra produção caça gripen brasileiro 2014 folha paulo , positivo
 economia produção petróleo gás natural bate recorde anp , positivo
 restrições sócia previ vendeu ações , neutro
 vivo adicionam cidades cobertura rede terra brasil , positivo
 dia repleto más notícias ibovespa cai 115 vale recuando , negativo
 ambev abre inscrições administradores programa trainee , positivo
 tempo real usiminas cai após teleconferência raia drogasil cai corte recomendação , negativo
 dilma santander inadmissível lamentável brasil , negativo
 petrobras perde participação produção brasileira petróleo gás noticias uol economia , negativo
 porto maravilha apenas projeto vendido , neutro
 gol maior alta ibovespa abril despenca exame , negativo
 1221 bovespa recua dia pregão mais curto ultimoinstante , negativo
 anhanguera pindamonhangaba realiza encontro educadores escolas ensino médio , neutro
 cade aprova compra fundo vale florestar suzano , positivo
 tse ministro suspende comercial petrobras política política , negativo
 eletrobras venda energia leilão bom negócio , positivo
 bovespa fecha queda mais puxada vale notícias mercados , negativo
 justiça manda bradesco indenizar cliente banco econômico jornal noticias uol economia , negativo
 petrobras embraer assinam acordo avaliação sistemas petróleo gás , positivo
 bbdc4 bradesco gráficos desempenho operacional investsite , neutro
 ações monitorar abertura bovespa terça feira , positivo
 brasil precisa demonstrar capacidade entrega destaca presidente bradesco , neutro
 concórdia recomenda compra ações , positivo
 pesquisa eleitoral falha animar mercado ibovespa queda , negativo
 ibovespa recupera menor fechamento mês sobe 089 infomoney , positivo
 holding vale totvs anunciam programa recompra milionária ações , positivo
 mpf levanta suspeitas refinaria petrobras notícias brasil , negativo
 corretoras apostam ação investir semana saiba , positivo
 ossami sakamori blogspot petrobras passa grave dificuldade financeira , negativo
 petrobras empresa mais endividada mundo corre risco falir próximos anos , negativo
 ações educação destacam ranking semestre , negativo
 folha política pasadena auditoria petrobras descobre saque irregular milhões , negativo
 hering projeto abrem programas estágio trainee notícias concursos emprego , neutro
 manchete lucro petrobras caiu lugar nenhum shell caiu chevron contexto livre , negativo
 portal tarde membros cpi têm doações fornecedores petrobras , negativo
 ibovespa segue alta dados eua petrobras elétricas são destaques , positivo
 eventual compra tim teria menos problemas regulatórios fonte governo noticias uol economia , positivo
 datafolha confunde mercado petrobras não reage mais , neutro
 bovespa sobe julho eleições seguem foco mercado terra brasil , positivo
 sabesp marca data água acaba dia outubro spressosp , neutro
 economia petrobras descarta risco ativos argentina após medidas eua , positivo
 bovespa cai 022 puxada petrobras bancos gol sobe mais economia uol economia , negativo
 credores ogx partem cima petronas istoé dinheiro , positivo
 goldman sachs eleva preço alvo ações petrobras papéis sobem noticias uol economia , positivo
 bolsa melhor investimento julho , neutro
 dívida estratosférica pode levar petrobras falência mpf infomoney , negativo
 prejuízo aumenta 778 trimestre 221 milhões valor econômico , negativo
 octo cgd criam segunda maior plataforma varejo bovespa valor econômico , positivo
 caixas banco 24h vão substituir parte terminais externos bancos , positivo
 termo neste momento mantém caminho selic subir análises copom , neutro
 sabesp receberá 135 despoluir rio tietê info , neutro
 exatos meses após fundo histórico petrobras subiu bolsa , positivo
 fora presidente lula caso petrobras 2014 folha paulo , negativo
 haver suspeita atuação organização criminosa petrobras 2014 folha paulo , negativo
 credit suisse eleva preço alvo ações seguridade porto seguro noticias uol economia , positivo
 bovespa não abre adr petrobras sobe eua após datafolha infomoney , positivo
 resultados recompras ações lupatech mais notícias agitam noite , neutro
 brasileiros saem administração dinheiro vivo , negativo
 dia mundial meio ambiente ambev anuncia ações sustentáveis , positivo
 eletrobras elet aprovacao captacao recursos , positivo
 petrobras lança gasolina aditivada grid promete menos atrito carplace , positivo
 petrobras inicia teste longa duração novo campo pré sal newsletter advfn , positivo
 ações educação destacam ranking semestre , positivo
 vale ambev mais empresas divulgarão resultados próxima semana infomoney , neutro
 csn vale lideram ganhos microcap sobe 200 dias veja destaques , positivo
 ibovespa repete sina cai dia jogo brasil petrobras baixa , positivo
 ações caíram 955 semana passada , negativo
 ibovespa futuro firma queda após pib estagnado eua balanço vale , negativo
 sabesp distribui até lucros acionistas durante governo alckmin ggn , positivo
 mmx compromete transferir 1052 ações exame , positivo
 kroton anhanguera acertam ponteiros veja mercados geraldo samor veja , neutro
 sabesp admite esgotamento principal manancial são paulo ggn , neutro
 faltam linhas eacutedito oacutes mba , positivo
 folha distorce fala lula salamanca petrobras áudio comprova viomundo você não mídia , neutro
 pib crescerá menos apontam previsões , negativo
 petrobras investe 100 indústria naval brasileira portal brasil , positivo
 laudo opa brookfield estima preço ação 129 142 notícias economia , neutro
 lucro bradesco cresce atinge bilhões segundo trimestre , positivo
 sabesp deixa investir 815 obras punida reajuste menor saopaulo saopaulo estadão , negativo
 ações prometem colocar mais dinheiro bolso , positivo
 economia bradesco sucessor econômico deve indenizar cliente , negativo
 governo dilma amplia uso lucros estatais fechar contas 2014 mercado folha paulo , positivo
 queda estatais revolução micos agitam volta feriado bovespa , negativo
 ibope ofusca fed ibovespa cai 031 primeira semana negativa mês , negativo
 nova estatal , neutro
 senador tucano tempo vai impedir investigação verdade petrobras notícias política , negativo
 fatos bombaram mercado terça feira , neutro
 bovespa fecha alta mais puxada petrobras economia estado minas , positivo
 sistema cantareira sabesp terá reduzir coleta água , negativo
 dupla arromba posto bradesco são francisco assis piauí notícias piauí , negativo
 ibovespa registra queda copa dividindo atenções eua conflitos iraque , negativo
 veja ações podem golear copa mundo aproveite oportunidades , positivo
 ibovespa cai mais piora exterior fiscal brasil petrobras desaba infomoney , negativo
 eike compromete transferir milhões ações mmx mubadala eike compromete transferir milhões ações mmx mubadala , positivo
 após quedas seguidas bovespa fecha alta mil pontos , positivo
 preso integrante quadrilha roubou milhões all , negativo
 kroton anhanguera mudam relação troca fusão ações sobem , positivo
 teorias conspiração rodrigo veronezi garcia presidente banco santander pede desculpas dilma rousseff , negativo
 bovespa opera alta segunda feira notícias mercados , positivo
 notícia turismo aviação japan airlines encomenda aviões embraer , positivo
 sabesp imprensa releases , positivo
 bradesco apresenta caixa eletrônico faz depósito tempo real , positivo
 tim part timp esclarecimentos , neutro
 sabesp gasto extra milhões publicidade 2014 cotidiano folha paulo , negativo
 investidores decepcionam pesquisa ibope bovespa cai economia notícia veja , negativo
 ato defesa petrobrás mobilizará são paulo terça , neutro
 boatos eleitorais animam bovespa petrobras ganha valor econômico , positivo
 águas tucanos sabesp segue sanepar privilegia acionistas detrimento consumidores viomundo você não mídia , negativo
 eletrobras pode subir 100 dilma perder eleições veja estimativa petro vale investir infomoney , positivo
 ceos compram jatos novamente geram impulso brasileira embraer negócios dia , positivo
 smiles mais dobra lucro cielo mais resultados agitam noite terça feira , positivo
 bolsas asiáticas sobem possível estímulo brasil mercado deve reagir datafolha , positivo
 bradesco lucra 347 trimestre economia notícia veja , positivo
 cyrela realt cyre debentures emissao series juros , neutro
 tráfego veículos rodovias ecorodovias sobe 137 semestre yahoo notícias , positivo
 cuidado bovespa alerta credit suisse , neutro
 dispara vale sobe small cap avança dias veja destaques , positivo
 bovespa índice ibovespa abre praticamente estável terça feira julho 2014 , neutro
 cade aprova compra 499 retiro baixo cemig , positivo
 mercado olho datafolha copom ibovespa encerra altas bancos caem , negativo
 banco brasil bbas programa fidelidade coalizao , neutro
 cade aprova aquisição copel parque voltalia , positivo
 bovespa cai pressionada bancos acumula perda semana notícias mercados , negativo
 aneel aprova reajuste médio pedido copel economia gazeta povo , positivo
 eletrobras venda leilão bom negócio exame , positivo
 alerta total dilma complica mais petrobras demite mantega hora alopra mercado mentiras , negativo
 preços explodindo vende torres veja mercados geraldo samor veja , neutro
 refinaria reduc petrobras vazamento caldeira vapor yahoo notícias , negativo
 tempo real small caps disparam mais após resultados marfrig cai , positivo
 bovespa opera alta quinta feira notícias mercados , positivo
 ambev vai aumentar preço cervejas exame , positivo
 abilio torna acionista carrefour , neutro
 tse multa novamente presidente petrobras graça foster 2014 folha paulo , negativo
 ibovespa registra leves ganhos noticiário econômico chamando atenção , positivo
 conjur contratação advogados banco brasil vira caso polícia , neutro
 planner indica compra vale ambev mais , positivo
 ações monitorar resultado deve pressionar eletropaulo all dia decisivo , positivo
 petrobras divulga resultado final seleção 232 vagas notícias concursos emprego , neutro
 lucro bradesco sobe alta crédito queda inadimplência noticias uol economia , positivo
 petrobras volta ser empresa mais valiosa brasil istoé dinheiro , positivo
 tempo real eletropaulo cai após resultado magazine luiza dispara , neutro
 acionistas aprovam criação maior empresa educação país noticias uol economia , positivo
 graça foster desmente cerveró não havia cláusula put option notícias uol notícias , negativo
 concursos públicos pagam salários até 239 mil , neutro
 aberdeen mira fundações investimentos exterior , neutro
 ambev dará cursos consumo responsável durante copa época felipe patury , positivo
 seguridade lucro acima esperado distribui dividendos noticias uol economia , positivo
 petrobras dispara após pesquisa leva bolsa maior nível meses economia uol economia , positivo
 embraer cria fundo 1313 milhões bndes terra brasil , positivo
 escândalo tucano vai gostar desviar dinheiro assim casa , negativo
 petrobras economia até 2018 plano demissão voluntária , positivo
 folha política delação premiada diretor petrobras causa alvoroço base dilma , positivo
 petrobras produção plataforma devido incêndio vazamento yahoo notícias , negativo
 mmx fecha tri prejuízo geração caixa negativa geral estadão , negativo
 governo impõe petrobras pagamento de excedente pré sal economia notícia veja , negativo
 projetos imobiliários diferenciados adotam conceito sofisticação recorrente , positivo
 jornal globo desiste recorrer decisão criar cpi exclusiva petrobras , positivo
 não precisará manter tesouraria ações entregues portugal telecom 2014 mercado folha paulo , neutro
 mês após assalto bando explode bradesco curimatá notícias piauí , negativo
 nível água sistema cantareira volta cair neste domingo notícias são paulo , negativo
 bovespa tenta descolar mau humor externo agência estado uol notícias , positivo
 ações aumentar exposição semana segundo coin , positivo
 produção petróleo petrobras sobe barris dia agosto noticias uol economia , positivo
 bovespa índice ibovespa fecha baixa quinta feira maio 2014 , negativo
 pão açúcar lucro dispara 365 newsletter advfn , positivo
 aécio neves cpmi petrobras demanda sociedade brasileira queremos aécio neves , neutro
 água vai acabar ano diretor décadas sabesp , negativo
 banco brasil bbas fato relevante perpetuos emissao reconhecimento bacen , neutro
 câmara convida presidente petrobras dar esclarecimentos , negativo
 ibovespa azeda baixa mais vale petrobras cenário externo radar , negativo
 graça foster marca dia ida câmara falar pasadena , negativo
 deputados querem explicações mantega pasadena início maio , negativo
 design simples amplia público alvo designer italiano , positivo
 tempo real embraer desaba csn tombam após revisões veja mais , negativo
 gabrielli será convidado três comissões falar pasadena , neutro
 bovespa fecha alta influenciada pesquisa eleitoral notícias mercados , positivo
 escândalo refinaria premium maranhão lugar reservado cpi mista petrobras ucho info , negativo
 reajuste 324 tarifa copel deve causar impacto produção industrial paraná bandnews curitiba , negativo
 bolsa fecha vermelho pressionada ações petrobras bancos , negativo
 ações bes recuam bolsa fecham cêntimos , neutro
 poupança tamanho rombo bancos newsletter advfn , negativo
 maiores empresas brasileiras valor mercado exame , positivo
 empregado petrobras ferido acidente refinaria manaus noticias uol economia , negativo
 empresas copa batem não bolão bolsas , negativo
 novidades mercado você precisa saber , neutro
 massacre ações brasileiras disparam nova iorque newsletter advfn , positivo
 bovespa recupera puxada vale agência estado uol notícias , positivo
 fibria manterá estratégia cogeração energia até fim ano economia estadão , neutro
 denuncia diretor petrobras mais fraude fábio campana , negativo
 cade determina realização diligências acordo braskem solvay noticias uol economia , neutro
 carioca poderá reclamar diretamente governo , positivo
 renan vai recorrer decisão garante cpi petrobras brasil notícia veja , negativo
 ações elétricas lideram bovespa notícias novos financiamento valor econômico , positivo
 eletrobras distribuição rondônia passa presidência regional notícias rondônia , neutro
 copel pede suspensão reajuste tarifa energia paraná online paranaense você , neutro
 gradual divulga carteira semana alterações confira , positivo
 embraer recebe novos pedidos azul contrato pode chegar noticias uol economia , positivo
 escalada tensões ucrânia pressão vale petrobras fazem ibovespa cair , negativo
 sabesp ridiculariza insistir erro , negativo
 investigado diretor afirma cpi petrobras não casa negócios brasil notícia veja , positivo
 portaria confirma aumento tributação bebidas frias junho , negativo
 tcu possível irregularidade compra refinaria petrobras noticias uol economia , negativo
 petrobras está pressão elevar produção , negativo
 olho mercado brasileiro rival embraer lança nova versão jato 2014 mercado folha paulo , negativo
 karsten sobe 170 bovespa após revelar negociações confidenciais mercado karsten sobe 170 bovespa após revelar negociações confidenciais mercado , positivo
 blog aluizio amorim fundos pensão rombo bilhões fundos empresas estatais banco brasil caixa petrobras lideram quebradeira , negativo
 ossami sakamori blogspot cpi petrobras início fim , positivo
 lucro vezes maior faz magazine luiza disparar bovespa exame , positivo
 justiça aceita denúncia executivos petrobras odebrecht 2014 folha paulo , negativo
 mais funcionários petrobras aderem plano demissão  economia notícia veja , positivo
 bovespa opera alta ajuda petrobras csn notícias mercados , positivo
 fraude cpi petistas governo cometem crime congresso democracia estado direito mensalão mais grave reinaldo azevedo blog veja , negativo
 diário centro mundo goldman sachs eleva projeções petrobras dispara bovespa , positivo
 elétricas lideram altas small cap sobe 200 ações agitaram pré feriado , negativo
 disparada petrobras ibovespa sobe 166 melhor fechamento desde outubro , positivo
 ibovespa intensifica alta após fomc yellen espera pesquisa eleitoral feriado , negativo
 sabesp não pode operar cantareira daí tijolaço política polêmica arma elites , negativo
 sabesp aguarda autorização bombear mais água volume morto valor econômico , neutro
 embraer conclui revisão preliminar projeto e190 aéreo informação discussão aviação militar civil , positivo
 eletrobrás faz captação bilhões banco brasil caixa ricardo noblat globo , positivo
 bco brasil bbas distribuicao juros capital retificacao , positivo
 ecorodovias triunfo mais dois entregam propostas ppp rodovia tamoios notícias economia , positivo
 obras milhões tratar esgoto águas vão sofrer atraso notícias piracicaba região , negativo
 aes eletropaulo reporta prejuízo 1835 milhões , negativo
 empresas mais lucraram até junho brasil exame , positivo
 seguridade lucra 845 trimestre noticias uol economia , positivo
 fatos mais agitaram bolsa semana , neutro
 brf brfs recompra senior notes , neutro
 comissões câmara aprovam convite ouvir presidente petrobras notícias política , neutro
 rali eleitoral março ibovespa fecha semestre alta 322 , positivo
 cgu impede comissão externa acessar dados petrobras notícias brasil , negativo
 diretoria petrobras omitiu riscos negócio japão 2014 folha paulo , negativo
 bom padeiro salvaria petrobras vexames política política , negativo
 pdg realty obtém liminar deixa lista suja ministério trabalho , positivo
 eike vai transferir 1052 mmx fundo mubadala abu dahbi 2014 mercado folha paulo , positivo
 ccee repassará distribuidoras 328 bilhões até dia , positivo
 gradual recomenda ações comprar confira , positivo
 credit suisse eleva preço alvo ações seguridade porto seguro infomoney , positivo
 diretor petrobras denunciado fraude psdb , negativo
 jornal comércio embraer conclui revisão preliminar projeto e190 , neutro
 relator cpi petrobras nega orientado testemunhas notícias política , neutro
 metade indicados cpi petrobras investigada stf congresso foco , negativo
 eletrobras assina acordo cooperação elétricas chinesas valor econômico , neutro
 bolsa cai pressionada vale ambev fecha mês azul 2014 mercado folha paulo , negativo
 diário centro mundo fraude gráfico sabesp situação sistema cantareira , negativo
 bolsa está cara acreditamos não gestor ações , positivo
 dilma vou continuar escolhendo melhores petrobras notícias uol eleições 2014 , negativo
 vende torres telecomunicações sba torres brasil 117 info , positivo
 bancos privados desistem emprestar eletrobras fonte valor econômico , negativo
 odebrecht embraer concentram crédito bndes exterior congresso foco , positivo
 embraer petrobras assinam acordo avaliação sistemas terra brasil , positivo
 tim vai investir bilhões brasil 2014 , positivo
 ação petrobras sobe quase puxa alta bovespa economia uol economia , positivo
 b2w digital btow esclarecimentos , neutro
 swap santander metro porto considerado pior negócio , negativo
 gol transportou milhões passageiros copa mundo , positivo
 água sabesp investe milhões publicidade spressosp , negativo
 número veículos financiados cai junho cetip , neutro
 aluguel ações , neutro
 investidores petrobras eletrobras pretendem processar dilma pode ser enquadrada crime responsabilidade revolta brasil , neutro
 aécio neves instalação cpi petrobras facebook , neutro
 crédito veículos cai junho segundo cetip , neutro
 executivo afirma petrobras sabia suspeitas propina desde 2012 brasil notícia veja , negativo
 marcopolo entra nova carteira ibovespa , positivo
 itaú bba recomendação positiva ambev saiba quê , positivo
 central móvel semae rio preto recebe requerimento restituição , neutro
 campos dilma crise petrobras brasil notícia veja , negativo
 revolta bomba sócio petrobrás denuncia novo facebook , negativo
 hora vender ações bancos brasileiros morgan stanley , neutro
 concórdia indica papéis investir neste mês confira , neutro
 marina acusa usar pré sal cortina fumaça abafar escândalo petrobras jornal globo , negativo
 justiça concede liminar condenado morte índio galdino barrado concurso , negativo
 eletrobras pode subir 100 dilma perder eleições veja estimativa petro vale investir infomoney , positivo
 controladores venderam ações junho cvm economia notícia veja , negativo
 sobral mais noticias horas ambev vai reajustar preço cervejas , negativo
 eletrobras deve petrobras , negativo
 petrobras cancela contrato empresa investigada 2014 folha paulo , negativo
 bmfbovespa será investigada suspeita omissão caso eike 2014 mercado folha paulo , negativo
 bovespa espera ibope índice flerta mil pontos ultimoinstante notícias hoje , positivo
 maior prejudicado até denúncias petrobras época tempo , negativo
 cia hering hgtx demonstracoes financeiras 2014 cons , neutro
 correção dolorosa top bovespa perde 187 bilhões valor mercado , positivo
 petrobras fatos dados valor mercado seis vezes maior 2002 , positivo
 corretora faz troca carteira após resultado continuar surpreendendo , positivo
 ibovespa sobe quase disparada estatais após queda avaliação dilma , positivo
 embraer completa revisão preliminar projeto geração avião e190 , neutro
 acionistas venderam ações junho relatório economia estadão , negativo
 bovespa fecha alta motivada estatais santander sobe tribuna hoje , neutro
 sabesp prepara usar volume morto sistema cantareira abastecimento globonews vídeos jornal globonews catálogo vídeos , negativo
 bovespa dólar descolam cena externa após pesquisa ibope noticias uol economia , neutro
 produção minério ferro vale vale5 soma 79448 2t14 , positivo
 ibovespa diminui ganhos seguindo eua segue alta petrobras vale , neutro
 vagas empregos brasil estágio banco santander , neutro
 cemig gas natural criam maior distribuidora país , positivo
 telefónica fica gvt telesíntese , positivo
 pesquisas estrangeiros ibovespa opera acima mil pontos , positivo
 anos bolsa ações cielo valorizam 250 , positivo
 bovespa amplia baixa dia anterior opera desvalorização notícias mercados , positivo
 bolsa brasileira encerra baixa após semana volátil , negativo
 petrobras aumenta gastos publicidade exame , neutro
 santander leva cartão pagamento aproximação jovens , neutro
 bovespa índice ibovespa abre praticamente estável segunda feira julho 2014 , neutro
 cade determina realização diligências acordo braskem solvay economia geral estadão , neutro
 sabesp pretende usar volume morto alto tietê terra brasil , neutro
 bovespa retoma mil pontos ajudada vale valor econômico , positivo
 conheça ações brasil bnp paribas está investido , positivo
 tempo real petrobras zera ganhos seguridade sobe microcap dispara 300 dias , positivo
 índice adrs brazil titans cai 081 após ibope petrobras bancos sofrem , negativo
 usiminas lucro líquido 222 1ºtri reuters uol notícias , positivo
 chineses vão participar leilões ferrovias , neutro
 diretor petrobras revelará acordo políticos terra brasil , positivo
 lucro braskem sobe trimestre economia notícia veja , positivo
 banco brasil estimula endividamento população , neutro
 renan vão recorrer stf cpi exclusiva petrobras 2014 folha paulo , negativo
 bovespa opera baixa dia após subir mais dólar recua valor econômico , neutro
 bovespa sobe impulsionada petrobras vale exame , positivo
 info divulga empresas mais inovadoras brasil , positivo
 sabesp pode usar volume morto sistema alto tietê partir agosto notícias uol notícias , neutro
 eike passará ações prumo fundo árabe além papéis mmx noticias uol economia , positivo
 bovespa fecha queda redução vendas varejo notícias mercados , negativo
 planalto joga sujo controlar cpi petrobras criada senado manto corrupção ucho info , negativo
 usiminas reverte prejuízo lucra 222 milhões trimestre economia notícia veja , positivo
 justiça quebra sigilo bancário petrobras mais empresas agitam noticiário infomoney , neutro
 petrobras conclui perfuração cessão onerosa pré sal comprova bilhões barris petróleo jornal globo , positivo
 bradesco itaú santander vão unificar caixas eletrônicos banco24horas jornal globo , positivo
 pagamentos pis pasep começam ser pagos terça , neutro
 celma petrópolis vai exportar motores china , positivo
 petroleiros celebram prioridade dilma petrobras viomundo você não mídia , neutro
 cpi petrobras líderes indicar nomes , positivo
 fora sócio petrobras joga merd# facebook , negativo
 bovespa sobe impulsionada petrobras vale aemercados geral estadão , positivo
 telecom itália quer melhorar serviços tim brasil , positivo
 investidores petrobras eletrobras estudam processar dilma rousseff , neutro
 aneel nega recurso eletropaulo mantém devolução 626 consumidores yahoo notícias , neutro
 mestrado profissional opção aproximar academia mercado , neutro
 petrobras conclui poço pré sal dias , positivo
 agente penitenicário assassinado próximo casa mãe , negativo
 padilha critica bônus sabesp poderia ser utilizado obras notícias eleições 2014 , neutro
 tráfego veículos rodovias ecorodovias sobe 137 semestre , positivo
 deputados querem explicações mantega pasadena início maio , negativo
 conselheiro cemig afastado após denúncia notícias economia , negativo
 bovespa muda direção opera alta notícias mercados , positivo
 malls vende 1987 milhões ativos , neutro
 revista espírito livre blog archive instituto japão vai banco brasil buscar informações uso software livre , neutro
 cemig compra projeto parques eólicos renova bahia empresas , positivo
 alerta máxima kroton krot3 , neutro
 alerta máxima estacio part estc3 , neutro
 dilma deve parar cair pesquisas globo bolsa cai quase , negativo
 calote afeta abre caminho união tim gvt , negativo
 instituto japão vai banco brasil buscar informações uso software livre psl brasil , positivo
 região jardins menos economiza água sabesp notícias são paulo , neutro
 lucro líquido cresce trimestre , positivo
 bovespa cai quase vale pib fecha maio vermelho notícias mercados , negativo
 cielo ciel indice cielo varejo ampliado icva , positivo
 bairros têm falta água sabesp nega racionamento notícias são paulo , negativo
 massacre alemão chega bovespa sacode mercado exame , positivo
 ambev ficará dividendos amanhã veja vale pena comprar ação ambev ficará , positivo
 assuntos goiás questão brasil prepara compra tim ações empresas disparam #reinaldocruz , positivo
 folha paulo abastecimento sabesp maquia crise sistema cantareira 2001 linkis , negativo
 embraer cria fundo 1313 milhões setor aeroespacial notícias negócios , positivo
 ações petrobras saltam quase dias vamos conversar aécio amigos presidente lula , positivo
 novidades mercado você precisa saber , positivo
 bovespa segue melhora externa dia feriado eua exame , positivo
 pdg realt pdgr esclarecimentos noticia divulgada midia , positivo
 novidades mercado você precisa saber , positivo
 pesquisa amanhã indicará dilma estreou copa ganhando levou goleada , positivo
 seguridade lucra 536 mais trimestre soma 845 milhões valor econômico , neutro
 ambev renasce bolsa sobe dias ações corrigem ganhos , positivo
 petrobras está pressão elevar produção , negativo
 properties conclui venda galpões 2345 bilhões notícias negócios , positivo
 ambev coca agitam mercado isotônicos , positivo
 bovespa amplia alta olho nova rodada pesquisas eleitorais , positivo
 localiza rent aquisicao quotas incorporacao subsidiarias , positivo
 aliado governo vai presidir duas cpis petrobras congresso notícias política , negativo
 problema leva gvt buscar fusão tim valor econômico , negativo
 cria expectativa exportar carne bonina china , positivo
 ibovespa fecha baixa pressionado ações bancos terra brasil , negativo
 regulador brasileiro aprovar acordo dívida rioforte fusão jornal negócios , positivo
 economia mmx amplia prejuízo líquido 692 milhões trimestre , negativo
 usina solar cemig gerou mais 300 mwh desde abril notícias economia , positivo
 jornal globonews especialista fala problemas prejuízos petrobras globo , negativo
 banco brasil promete melhorar margens receitas provisões basileia , positivo
 kroton anhanguera lideram ganhos novidade fusão ações reagem resultados , neutro
 sabesp ignorou recomendações afundou cantareira especialista ggn , negativo
 paranaenses precisam saber gestão copel roberto requião , neutro
 presidente hondurenho pretende revitalizar aeronáutica aviões embraer , positivo
 não falta dinheiro presidente sabesp saneamento básico notícias piracicaba região , positivo
 terá pagar multa milhões monitorar clientes line 2014 mercado folha paulo , negativo
 ministra supremo manda senado instalar cpi exclusiva petrobras notícias política , positivo
 cpi petrobras fotos uol notícias , negativo
 fibria prevê celulose mais cara semestre fibria prevê celulose mais cara semestre , positivo
 embraer entrega aviões comerciais trimestre noticias uol economia , positivo
 bradesco cria aplicativo google glass anuncia carteira digital convergência digital inovação , positivo
 bovespa ignora aversão risco exterior sobe boato eleitoral valor econômico , positivo
 bancos ofuscam pib china ibovespa vira queda , neutro
 bovespa avança mais dólar negociado casa 222 noticias uol economia , neutro
 procon multa bancos demora atendimento , negativo
 nacional china compra aviões embraer vai facebook , positivo
 bovespa alta seguida atinge mil pontos notícias mercados , positivo
 tcu deve fiscalizar contratos empresa suspeita pagar propina diretor petrobras brasil notícia veja , negativo
 lucro bradesco sobe chega trimestre bate recorde jornal globo , positivo
 cpmi petrobras adia reunião analisar requerimentos notícias brasil , negativo
 abraciclo prevê queda produção vendas motos , neutro
 itaú bba recomendação positiva ambev saiba porquê infomoney , positivo
 bovespa sustenta mil pontos novamente ajudada petrobras valor econômico , neutro
 sabesp deixa placas soltas ruas campo limpo direitos , negativo
 abono salarial 2014 2015 começa ser pago partir amanhã , neutro
 bovespa opera alta terça feira notícias mercados , positivo
 bovespa fecha baixa 022 pressionada petrobras bancos , negativo
 anhanguera kroton mudam composição acionária fusão valor econômico , neutro
 bovespa índice ibovespa fecha alta quarta feira maio 2014 , positivo
 cade rejeita recurso interposto anhanguera multa 500 mil , negativo
